,,,שנה קבלת אירוע,Total,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017
מועצה  מקומית או עירייה או מועצה אזורית,נושא ארוע,סוג אירוע,רבעון קבלת אירוע,,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2
פסוטה,תנועה,Total,,16,9,$,$,$,$,5,-,$,$,$,$,$,$
פסוטה,תנועה,חסימת מעבר,,11,$,$,$,-,$,5,-,$,$,$,$,$,$
פסוטה,תנועה,רכב חונה באיסור,,5,5,-,-,$,$,-,-,-,-,-,-,-,-
פסוטה,איכות חיים,Total,,22,14,$,$,6,$,7,-,$,$,$,$,-,$
פסוטה,איכות חיים,גרימת רעש מבית,,$,$,$,-,-,-,$,-,-,$,-,$,-,$
פסוטה,איכות חיים,גרימת רעש ממקום ציבורי,,11,7,$,$,$,-,$,-,$,$,$,-,-,-
פסוטה,איכות חיים,גרימת רעש מעסק,,8,6,$,-,$,$,$,-,$,$,-,-,-,-
פסוטה,סדר ציבורי,Total,,$,$,-,-,-,$,-,-,-,-,-,$,$,-
פסוטה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,$,$,-,-,-,$,-,-,-,-,-,$,$,-
פסוטה,אלימות,Total,,10,7,$,$,$,$,$,$,-,$,$,-,-,-
פסוטה,אלימות,סכסוך - שכנים,,$,-,-,-,-,-,$,-,-,$,$,-,-,-
פסוטה,אלימות,סכסוך שכנים עסקי,,8,7,$,$,$,$,$,$,-,-,-,-,-,-
פקיעין (בוקייעה),Total,,,45,20,$,$,9,6,21,$,5,9,$,$,$,$
פקיעין (בוקייעה),תנועה,Total,,9,$,-,$,$,$,$,$,-,$,-,$,$,$
פקיעין (בוקייעה),תנועה,חסימת מעבר,,7,$,-,$,$,$,$,$,-,$,-,$,-,$
פקיעין (בוקייעה),תנועה,רכב חונה באיסור,,$,$,-,-,$,-,-,-,-,-,-,$,$,-
פקיעין (בוקייעה),איכות חיים,Total,,23,10,-,$,5,$,12,$,$,5,$,$,$,-
פקיעין (בוקייעה),איכות חיים,גרימת רעש ממקום ציבורי,,21,9,-,$,$,$,11,$,$,$,$,$,$,-
פקיעין (בוקייעה),איכות חיים,גרימת רעש מעסק,,$,$,-,-,$,-,$,-,-,$,-,-,-,-
פקיעין (בוקייעה),סדר ציבורי,Total,,10,$,$,-,$,$,5,-,$,$,$,$,$,-
פקיעין (בוקייעה),סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,10,$,$,-,$,$,5,-,$,$,$,$,$,-
פקיעין (בוקייעה),אלימות,Total,,$,$,-,-,$,-,$,-,-,$,-,-,-,-
פקיעין (בוקייעה),אלימות,סכסוך - שכנים,,$,-,-,-,-,-,$,-,-,$,-,-,-,-
פקיעין (בוקייעה),אלימות,סכסוך שכנים עסקי,,$,$,-,-,$,-,-,-,-,-,-,-,-,-
פקיעין (בוקייעה),סמים ואלכוהול,Total,,$,$,-,-,-,$,-,-,-,-,-,-,-,-
פקיעין (בוקייעה),סמים ואלכוהול,שכרות,,$,$,-,-,-,$,-,-,-,-,-,-,-,-
פרדס חנה-כרכור,Total,,,6712,2624,527,820,686,591,2877,502,779,800,796,1211,673,538
פרדס חנה-כרכור,תנועה,Total,,2587,875,208,238,223,206,1122,219,271,329,303,590,373,217
פרדס חנה-כרכור,תנועה,הסגת גבול - חניה פרטית,,299,-,-,-,-,-,176,-,53,66,57,123,75,48
פרדס חנה-כרכור,תנועה,חסימת מעבר,,1636,573,147,144,144,138,701,158,162,199,182,362,224,138
פרדס חנה-כרכור,תנועה,רכב חונה באיסור,,652,302,61,94,79,68,245,61,56,64,64,105,74,31
פרדס חנה-כרכור,איכות חיים,Total,,3091,1299,203,476,351,269,1320,186,392,360,382,472,215,257
פרדס חנה-כרכור,איכות חיים,גרימת רעש מבית,,1620,637,117,220,181,119,726,104,241,184,197,257,112,145
פרדס חנה-כרכור,איכות חיים,גרימת רעש ממקום ציבורי,,1250,565,67,218,154,126,516,66,132,157,161,169,74,95
פרדס חנה-כרכור,איכות חיים,גרימת רעש מעסק,,221,97,19,38,16,24,78,16,19,19,24,46,29,17
פרדס חנה-כרכור,סדר ציבורי,Total,,563,214,68,40,52,54,252,50,61,63,78,97,51,46
פרדס חנה-כרכור,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,563,214,68,40,52,54,252,50,61,63,78,97,51,46
פרדס חנה-כרכור,אלימות,Total,,377,187,37,53,48,49,152,38,49,37,28,38,26,12
פרדס חנה-כרכור,אלימות,סכסוך - שכנים,,150,-,-,-,-,-,112,-,47,37,28,38,26,12
פרדס חנה-כרכור,אלימות,סכסוך שכנים עסקי,,227,187,37,53,48,49,40,38,$,-,-,-,-,-
פרדס חנה-כרכור,סמים ואלכוהול,Total,,94,49,11,13,12,13,31,9,6,11,5,14,8,6
פרדס חנה-כרכור,סמים ואלכוהול,שכרות,,94,49,11,13,12,13,31,9,6,11,5,14,8,6
פרדסייה,Total,,,1069,460,93,141,123,103,426,89,105,126,106,183,106,77
פרדסייה,תנועה,Total,,617,204,47,52,58,47,283,59,64,89,71,130,76,54
פרדסייה,תנועה,הסגת גבול - חניה פרטית,,49,-,-,-,-,-,37,-,14,15,8,12,$,8
פרדסייה,תנועה,חסימת מעבר,,464,160,39,41,40,40,209,48,43,62,56,95,55,40
פרדסייה,תנועה,רכב חונה באיסור,,104,44,8,11,18,7,37,11,7,12,7,23,17,6
פרדסייה,איכות חיים,Total,,355,211,37,76,51,47,102,19,32,30,21,42,21,21
פרדסייה,איכות חיים,גרימת רעש מבית,,231,140,28,45,34,33,67,11,22,22,12,24,11,13
פרדסייה,איכות חיים,גרימת רעש ממקום ציבורי,,112,62,6,28,15,13,33,8,10,7,8,17,10,7
פרדסייה,איכות חיים,גרימת רעש מעסק,,12,9,$,$,$,$,$,-,-,$,$,$,-,$
פרדסייה,סדר ציבורי,Total,,55,29,7,9,6,7,18,$,$,5,6,8,6,$
פרדסייה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,55,29,7,9,6,7,18,$,$,5,6,8,6,$
פרדסייה,אלימות,Total,,30,10,-,$,5,$,18,6,5,$,6,$,$,-
פרדסייה,אלימות,סכסוך - שכנים,,14,-,-,-,-,-,12,-,5,$,6,$,$,-
פרדסייה,אלימות,סכסוך שכנים עסקי,,16,10,-,$,5,$,6,6,-,-,-,-,-,-
פרדסייה,סמים ואלכוהול,Total,,12,6,$,$,$,-,5,$,$,$,$,$,$,-
פרדסייה,סמים ואלכוהול,שכרות,,12,6,$,$,$,-,5,$,$,$,$,$,$,-
פתח תקווה,Total,,,82133,31517,6543,8171,8458,8345,36424,7698,9878,9273,9575,14192,8484,5708
פתח תקווה,תנועה,Total,,47302,16355,3873,3740,4220,4522,21788,4661,5415,5828,5884,9159,6100,3059
פתח תקווה,תנועה,הסגת גבול - חניה פרטית,,5262,-,-,-,-,-,3370,-,895,1214,1261,1892,1302,590
פתח תקווה,תנועה,חסימת מעבר,,29483,10770,2538,2482,2796,2954,13271,3243,3120,3440,3468,5442,3578,1864
פתח תקווה,תנועה,רכב חונה באיסור,,12557,5585,1335,1258,1424,1568,5147,1418,1400,1174,1155,1825,1220,605
פתח תקווה,איכות חיים,Total,,26371,11277,1758,3477,3105,2937,11221,2108,3614,2609,2890,3873,1682,2191
פתח תקווה,איכות חיים,גרימת רעש מבית,,13821,5801,1127,1878,1402,1394,5862,1341,1830,1220,1471,2158,1011,1147
פתח תקווה,איכות חיים,גרימת רעש מבית תפילה,,27,-,-,-,-,-,-,-,-,-,-,27,13,14
פתח תקווה,איכות חיים,גרימת רעש ממקום ציבורי,,11589,5045,552,1494,1602,1397,4985,672,1684,1299,1330,1559,599,960
פתח תקווה,איכות חיים,גרימת רעש מעסק,,934,431,79,105,101,146,374,95,100,90,89,129,59,70
פתח תקווה,סדר ציבורי,Total,,4586,2036,495,496,562,483,1877,499,494,444,440,673,400,273
פתח תקווה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,4586,2036,495,496,562,483,1877,499,494,444,440,673,400,273
פתח תקווה,אלימות,Total,,2657,1424,322,341,451,310,972,297,197,239,239,261,154,107
פתח תקווה,אלימות,סכסוך - שכנים,,889,-,-,-,-,-,628,-,150,239,239,261,154,107
פתח תקווה,אלימות,סכסוך שכנים עסקי,,1768,1424,322,341,451,310,344,297,47,-,-,-,-,-
פתח תקווה,סמים ואלכוהול,Total,,1217,425,95,117,120,93,566,133,158,153,122,226,148,78
פתח תקווה,סמים ואלכוהול,שכרות,,1217,425,95,117,120,93,566,133,158,153,122,226,148,78
צורן-קדימה,Total,,,3722,1589,306,482,438,363,1584,316,410,422,436,549,298,251
צורן-קדימה,תנועה,Total,,1759,609,135,138,145,191,831,187,195,222,227,319,200,119
צורן-קדימה,תנועה,הסגת גבול - חניה פרטית,,143,-,-,-,-,-,86,-,27,24,35,57,36,21
צורן-קדימה,תנועה,חסימת מעבר,,1194,423,88,97,101,137,557,135,121,152,149,214,138,76
צורן-קדימה,תנועה,רכב חונה באיסור,,422,186,47,41,44,54,188,52,47,46,43,48,26,22
צורן-קדימה,איכות חיים,Total,,1713,864,152,309,255,148,652,104,193,168,187,197,77,120
צורן-קדימה,איכות חיים,גרימת רעש מבית,,1062,542,99,194,160,89,400,66,126,104,104,120,52,68
צורן-קדימה,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,-,$
צורן-קדימה,איכות חיים,גרימת רעש ממקום ציבורי,,609,302,44,108,93,57,235,35,59,61,80,72,21,51
צורן-קדימה,איכות חיים,גרימת רעש מעסק,,41,20,9,7,$,$,17,$,8,$,$,$,$,-
צורן-קדימה,סדר ציבורי,Total,,115,51,11,17,14,9,44,11,14,13,6,20,13,7
צורן-קדימה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,115,51,11,17,14,9,44,11,14,13,6,20,13,7
צורן-קדימה,אלימות,Total,,114,56,8,12,23,13,49,11,5,18,15,9,5,$
צורן-קדימה,אלימות,סכסוך - שכנים,,46,-,-,-,-,-,37,-,$,18,15,9,5,$
צורן-קדימה,אלימות,סכסוך שכנים עסקי,,68,56,8,12,23,13,12,11,$,-,-,-,-,-
צורן-קדימה,סמים ואלכוהול,Total,,21,9,-,6,$,$,8,$,$,$,$,$,$,$
צורן-קדימה,סמים ואלכוהול,שכרות,,21,9,-,6,$,$,8,$,$,$,$,$,$,$
צפת,Total,,,8397,3472,607,898,1096,871,3741,653,894,1298,896,1184,687,497
צפת,תנועה,Total,,4598,1811,372,433,480,526,2050,432,471,624,523,737,458,279
צפת,תנועה,הסגת גבול - חניה פרטית,,141,-,-,-,-,-,99,-,20,37,42,42,22,20
צפת,תנועה,חסימת מעבר,,3690,1480,303,345,395,437,1626,363,365,498,400,584,359,225
צפת,תנועה,רכב חונה באיסור,,767,331,69,88,85,89,325,69,86,89,81,111,77,34
צפת,איכות חיים,Total,,2573,1114,139,293,463,219,1198,114,306,516,262,261,128,133
צפת,איכות חיים,גרימת רעש מבית,,1272,536,81,146,198,111,577,74,162,206,135,159,85,74
צפת,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,$
צפת,איכות חיים,גרימת רעש ממקום ציבורי,,1058,465,49,115,212,89,523,35,107,275,106,70,27,43
צפת,איכות חיים,גרימת רעש מעסק,,240,113,9,32,53,19,98,5,37,35,21,29,14,15
צפת,סדר ציבורי,Total,,654,285,41,93,81,70,263,65,67,75,56,106,58,48
צפת,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,654,285,41,93,81,70,263,65,67,75,56,106,58,48
צפת,אלימות,Total,,508,238,50,73,68,47,202,38,43,74,47,68,36,32
צפת,אלימות,סכסוך - שכנים,,228,-,-,-,-,-,160,-,39,74,47,68,36,32
צפת,אלימות,סכסוך שכנים עסקי,,280,238,50,73,68,47,42,38,$,-,-,-,-,-
צפת,סמים ואלכוהול,Total,,64,24,5,6,$,9,28,$,7,9,8,12,7,5
צפת,סמים ואלכוהול,שכרות,,64,24,5,6,$,9,28,$,7,9,8,12,7,5
קדומים,Total,,,167,66,11,20,21,14,74,11,24,30,9,27,17,10
קדומים,תנועה,Total,,34,9,$,$,$,$,18,6,$,9,$,7,6,$
קדומים,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,-,$,-,-,-,-
קדומים,תנועה,חסימת מעבר,,27,9,$,$,$,$,14,5,$,7,-,$,$,$
קדומים,תנועה,רכב חונה באיסור,,5,-,-,-,-,-,$,$,-,-,$,$,$,-
קדומים,איכות חיים,Total,,106,42,$,14,17,7,51,$,19,20,8,13,5,8
קדומים,איכות חיים,גרימת רעש מבית,,28,9,$,$,$,$,16,$,7,6,$,$,$,$
קדומים,איכות חיים,גרימת רעש ממקום ציבורי,,75,31,$,10,15,$,34,$,12,14,6,10,$,6
קדומים,איכות חיים,גרימת רעש מעסק,,$,$,$,-,$,-,$,$,-,-,-,-,-,-
קדומים,סדר ציבורי,Total,,11,$,-,$,$,$,$,$,$,$,-,$,$,-
קדומים,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,11,$,-,$,$,$,$,$,$,$,-,$,$,-
קדומים,אלימות,Total,,11,8,$,$,-,$,$,-,$,-,-,$,$,-
קדומים,אלימות,סכסוך - שכנים,,$,-,-,-,-,-,$,-,$,-,-,$,$,-
קדומים,אלימות,סכסוך שכנים עסקי,,8,8,$,$,-,$,-,-,-,-,-,-,-,-
קדומים,סמים ואלכוהול,Total,,5,$,$,$,-,-,$,-,$,-,-,$,-,$
קדומים,סמים ואלכוהול,שכרות,,5,$,$,$,-,-,$,-,$,-,-,$,-,$
קלנסווה,Total,,,379,158,26,55,48,29,165,38,43,30,54,56,34,22
קלנסווה,תנועה,Total,,145,48,8,14,14,12,71,12,20,13,26,26,18,8
קלנסווה,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,-,$,$,$,$,-
קלנסווה,תנועה,חסימת מעבר,,118,40,7,12,13,8,55,11,19,10,15,23,15,8
קלנסווה,תנועה,רכב חונה באיסור,,23,8,$,$,$,$,13,$,$,$,9,$,$,-
קלנסווה,איכות חיים,Total,,72,40,$,19,12,6,24,$,11,$,6,8,$,7
קלנסווה,איכות חיים,גרימת רעש מבית,,29,17,$,8,6,$,12,$,$,$,$,-,-,-
קלנסווה,איכות חיים,גרימת רעש ממקום ציבורי,,27,16,$,6,6,$,6,-,$,$,$,5,$,$
קלנסווה,איכות חיים,גרימת רעש מעסק,,16,7,-,5,-,$,6,-,$,-,$,$,-,$
קלנסווה,סדר ציבורי,Total,,100,41,5,14,15,7,44,13,8,10,13,15,9,6
קלנסווה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,100,41,5,14,15,7,44,13,8,10,13,15,9,6
קלנסווה,אלימות,Total,,57,28,10,8,7,$,22,8,$,$,7,7,6,$
קלנסווה,אלימות,סכסוך - שכנים,,21,-,-,-,-,-,14,-,$,$,7,7,6,$
קלנסווה,אלימות,סכסוך שכנים עסקי,,36,28,10,8,7,$,8,8,-,-,-,-,-,-
קלנסווה,סמים ואלכוהול,Total,,5,$,-,-,-,$,$,$,-,-,$,-,-,-
קלנסווה,סמים ואלכוהול,שכרות,,5,$,-,-,-,$,$,$,-,-,$,-,-,-
קציר-חריש,Total,,,149,49,$,10,17,18,53,11,6,19,17,47,24,23
קציר-חריש,תנועה,Total,,42,$,-,-,-,$,12,$,$,6,$,27,16,11
קציר-חריש,תנועה,הסגת גבול - חניה פרטית,,21,-,-,-,-,-,$,-,-,$,$,19,12,7
קציר-חריש,תנועה,חסימת מעבר,,16,$,-,-,-,$,8,$,-,$,$,5,$,$
קציר-חריש,תנועה,רכב חונה באיסור,,5,-,-,-,-,-,$,-,$,$,-,$,$,$
קציר-חריש,איכות חיים,Total,,83,38,$,8,16,12,32,5,$,12,11,13,5,8
קציר-חריש,איכות חיים,גרימת רעש מבית,,35,12,$,$,$,6,16,$,$,5,7,7,$,6
קציר-חריש,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
קציר-חריש,איכות חיים,גרימת רעש ממקום ציבורי,,45,26,$,7,12,6,14,$,$,7,$,5,$,$
קציר-חריש,איכות חיים,גרימת רעש מעסק,,$,-,-,-,-,-,$,-,$,-,$,-,-,-
קציר-חריש,סדר ציבורי,Total,,11,$,$,$,-,-,6,$,$,$,$,$,$,$
קציר-חריש,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,11,$,$,$,-,-,6,$,$,$,$,$,$,$
קציר-חריש,אלימות,Total,,11,5,-,$,$,$,$,$,-,-,-,$,$,$
קציר-חריש,אלימות,סכסוך - שכנים,,$,-,-,-,-,-,-,-,-,-,-,$,$,$
קציר-חריש,אלימות,סכסוך שכנים עסקי,,7,5,-,$,$,$,$,$,-,-,-,-,-,-
קציר-חריש,סמים ואלכוהול,Total,,$,$,$,-,-,-,$,$,-,-,-,-,-,-
קציר-חריש,סמים ואלכוהול,שכרות,,$,$,$,-,-,-,$,$,-,-,-,-,-,-
קצרין,Total,,,699,317,54,88,106,69,301,64,83,81,73,81,44,37
קצרין,תנועה,Total,,215,88,18,23,22,25,97,28,25,23,21,30,17,13
קצרין,תנועה,הסגת גבול - חניה פרטית,,8,-,-,-,-,-,7,-,$,$,$,$,-,$
קצרין,תנועה,חסימת מעבר,,136,55,13,17,9,16,60,19,16,15,10,21,14,7
קצרין,תנועה,רכב חונה באיסור,,71,33,5,6,13,9,30,9,6,7,8,8,$,5
קצרין,איכות חיים,Total,,341,163,27,53,57,26,151,23,46,47,35,27,13,14
קצרין,איכות חיים,גרימת רעש מבית,,164,67,13,23,15,16,80,15,30,16,19,17,11,6
קצרין,איכות חיים,גרימת רעש ממקום ציבורי,,156,80,14,28,29,9,66,7,16,29,14,10,$,8
קצרין,איכות חיים,גרימת רעש מעסק,,21,16,-,$,13,$,5,$,-,$,$,-,-,-
קצרין,סדר ציבורי,Total,,87,41,5,5,18,13,32,10,7,6,9,14,9,5
קצרין,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,87,41,5,5,18,13,32,10,7,6,9,14,9,5
קצרין,אלימות,Total,,40,23,$,7,7,5,12,$,$,$,7,5,$,$
קצרין,אלימות,סכסוך - שכנים,,14,-,-,-,-,-,9,-,$,$,7,5,$,$
קצרין,אלימות,סכסוך שכנים עסקי,,26,23,$,7,7,5,$,$,$,-,-,-,-,-
קצרין,סמים ואלכוהול,Total,,16,$,-,-,$,-,9,$,$,$,$,5,$,$
קצרין,סמים ואלכוהול,שכרות,,16,$,-,-,$,-,9,$,$,$,$,5,$,$
קריית אונו,Total,,,5549,2020,375,591,483,571,2665,431,716,777,741,864,542,322
קריית אונו,תנועה,Total,,2900,938,205,216,216,301,1450,244,330,443,433,512,343,169
קריית אונו,תנועה,הסגת גבול - חניה פרטית,,250,-,-,-,-,-,181,-,51,67,63,69,45,24
קריית אונו,תנועה,חסימת מעבר,,1448,461,92,104,103,162,716,124,162,211,219,271,172,99
קריית אונו,תנועה,רכב חונה באיסור,,1202,477,113,112,113,139,553,120,117,165,151,172,126,46
קריית אונו,איכות חיים,Total,,2136,857,135,321,201,200,1012,141,341,279,251,267,140,127
קריית אונו,איכות חיים,גרימת רעש מבית,,1148,486,89,173,94,130,496,86,179,120,111,166,98,68
קריית אונו,איכות חיים,גרימת רעש ממקום ציבורי,,920,344,39,138,100,67,482,50,153,151,128,94,37,57
קריית אונו,איכות חיים,גרימת רעש מעסק,,68,27,7,10,7,$,34,5,9,8,12,7,5,$
קריית אונו,סדר ציבורי,Total,,229,73,12,22,19,20,110,18,29,33,30,46,32,14
קריית אונו,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,229,73,12,22,19,20,110,18,29,33,30,46,32,14
קריית אונו,אלימות,Total,,249,139,20,29,44,46,82,27,12,19,24,28,20,8
קריית אונו,אלימות,סכסוך - שכנים,,82,-,-,-,-,-,54,-,11,19,24,28,20,8
קריית אונו,אלימות,סכסוך שכנים עסקי,,167,139,20,29,44,46,28,27,$,-,-,-,-,-
קריית אונו,סמים ואלכוהול,Total,,35,13,$,$,$,$,11,$,$,$,$,11,7,$
קריית אונו,סמים ואלכוהול,שכרות,,35,13,$,$,$,$,11,$,$,$,$,11,7,$
קריית ארבע,Total,,,450,192,44,36,62,50,206,47,55,61,43,52,34,18
קריית ארבע,תנועה,Total,,70,27,7,5,7,8,30,6,$,10,10,13,10,$
קריית ארבע,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,-,$,$,-,-,-
קריית ארבע,תנועה,חסימת מעבר,,46,19,5,$,$,8,18,$,$,5,7,9,8,$
קריית ארבע,תנועה,רכב חונה באיסור,,22,8,$,$,$,-,10,$,$,$,$,$,$,$
קריית ארבע,איכות חיים,Total,,262,117,24,20,42,31,118,30,37,36,15,27,17,10
קריית ארבע,איכות חיים,גרימת רעש מבית,,120,53,15,7,14,17,53,25,12,13,$,14,10,$
קריית ארבע,איכות חיים,גרימת רעש ממקום ציבורי,,130,60,8,12,27,13,58,$,22,21,12,12,6,6
קריית ארבע,איכות חיים,גרימת רעש מעסק,,12,$,$,$,$,$,7,$,$,$,-,$,$,-
קריית ארבע,סדר ציבורי,Total,,40,14,6,-,$,5,19,5,$,5,5,7,5,$
קריית ארבע,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,40,14,6,-,$,5,19,5,$,5,5,7,5,$
קריית ארבע,אלימות,Total,,63,26,6,11,5,$,33,5,9,7,12,$,$,$
קריית ארבע,אלימות,סכסוך - שכנים,,32,-,-,-,-,-,28,-,9,7,12,$,$,$
קריית ארבע,אלימות,סכסוך שכנים עסקי,,31,26,6,11,5,$,5,5,-,-,-,-,-,-
קריית ארבע,סמים ואלכוהול,Total,,15,8,$,-,5,$,6,$,$,$,$,$,-,$
קריית ארבע,סמים ואלכוהול,שכרות,,15,8,$,-,5,$,6,$,$,$,$,$,-,$
קריית אתא,Total,,,15007,5405,1127,1589,1393,1296,6946,1258,1936,1742,2010,2656,1529,1127
קריית אתא,תנועה,Total,,6526,2074,480,492,558,544,3156,611,837,862,846,1296,849,447
קריית אתא,תנועה,הסגת גבול - חניה פרטית,,521,-,-,-,-,-,318,-,92,121,105,203,139,64
קריית אתא,תנועה,חסימת מעבר,,4278,1411,320,315,411,365,2041,447,527,508,559,826,552,274
קריית אתא,תנועה,רכב חונה באיסור,,1727,663,160,177,147,179,797,164,218,233,182,267,158,109
קריית אתא,איכות חיים,Total,,6203,2445,446,844,587,568,2792,458,850,613,871,966,445,521
קריית אתא,איכות חיים,גרימת רעש מבית,,4016,1559,333,529,348,349,1769,340,519,362,548,688,337,351
קריית אתא,איכות חיים,גרימת רעש מבית תפילה,,8,-,-,-,-,-,-,-,-,-,-,8,6,$
קריית אתא,איכות חיים,גרימת רעש ממקום ציבורי,,2000,802,99,290,222,191,947,98,304,238,307,251,94,157
קריית אתא,איכות חיים,גרימת רעש מעסק,,179,84,14,25,17,28,76,20,27,13,16,19,8,11
קריית אתא,סדר ציבורי,Total,,1170,393,86,111,114,82,553,102,143,134,174,224,136,88
קריית אתא,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,1170,393,86,111,114,82,553,102,143,134,174,224,136,88
קריית אתא,אלימות,Total,,933,426,96,129,116,85,377,80,96,115,86,130,79,51
קריית אתא,אלימות,סכסוך - שכנים,,408,-,-,-,-,-,278,-,77,115,86,130,79,51
קריית אתא,אלימות,סכסוך שכנים עסקי,,525,426,96,129,116,85,99,80,19,-,-,-,-,-
קריית אתא,סמים ואלכוהול,Total,,175,67,19,13,18,17,68,7,10,18,33,40,20,20
קריית אתא,סמים ואלכוהול,שכרות,,175,67,19,13,18,17,68,7,10,18,33,40,20,20
קריית ביאליק,Total,,,10309,3821,804,1042,1005,970,4749,865,1232,1310,1342,1739,1047,692
קריית ביאליק,תנועה,Total,,5555,1785,412,435,465,473,2672,503,678,714,777,1098,727,371
קריית ביאליק,תנועה,הסגת גבול - חניה פרטית,,534,-,-,-,-,-,354,-,97,136,121,180,113,67
קריית ביאליק,תנועה,חסימת מעבר,,3730,1289,282,306,356,345,1720,364,426,422,508,721,476,245
קריית ביאליק,תנועה,רכב חונה באיסור,,1291,496,130,129,109,128,598,139,155,156,148,197,138,59
קריית ביאליק,איכות חיים,Total,,3256,1405,258,448,340,359,1437,238,394,396,409,414,189,225
קריית ביאליק,איכות חיים,גרימת רעש מבית,,1935,833,177,251,187,218,824,152,212,192,268,278,140,138
קריית ביאליק,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
קריית ביאליק,איכות חיים,גרימת רעש ממקום ציבורי,,1167,511,59,176,141,135,543,73,170,188,112,113,39,74
קריית ביאליק,איכות חיים,גרימת רעש מעסק,,153,61,22,21,12,6,70,13,12,16,29,22,9,13
קריית ביאליק,סדר ציבורי,Total,,727,261,66,65,76,54,332,47,91,115,79,134,78,56
קריית ביאליק,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,727,261,66,65,76,54,332,47,91,115,79,134,78,56
קריית ביאליק,אלימות,Total,,664,327,59,84,111,73,257,68,62,68,59,80,44,36
קריית ביאליק,אלימות,סכסוך - שכנים,,261,-,-,-,-,-,181,-,54,68,59,80,44,36
קריית ביאליק,אלימות,סכסוך שכנים עסקי,,403,327,59,84,111,73,76,68,8,-,-,-,-,-
קריית ביאליק,סמים ואלכוהול,Total,,107,43,9,10,13,11,51,9,7,17,18,13,9,$
קריית ביאליק,סמים ואלכוהול,שכרות,,107,43,9,10,13,11,51,9,7,17,18,13,9,$
קריית גת,Total,,,14307,6210,1162,1743,1858,1447,6043,1287,1636,1549,1571,2054,1231,823
קריית גת,תנועה,Total,,4940,1880,442,497,463,478,2130,561,496,544,529,930,607,323
קריית גת,תנועה,הסגת גבול - חניה פרטית,,148,-,-,-,-,-,75,-,13,28,34,73,52,21
קריית גת,תנועה,חסימת מעבר,,3524,1296,291,324,312,369,1532,390,364,381,397,696,452,244
קריית גת,תנועה,רכב חונה באיסור,,1268,584,151,173,151,109,523,171,119,135,98,161,103,58
קריית גת,איכות חיים,Total,,6894,3245,479,962,1092,712,2900,513,842,747,798,749,381,368
קריית גת,איכות חיים,גרימת רעש מבית,,3214,1487,306,438,429,314,1324,271,366,295,392,403,224,179
קריית גת,איכות חיים,גרימת רעש מבית תפילה,,12,-,-,-,-,-,-,-,-,-,-,12,10,$
קריית גת,איכות חיים,גרימת רעש ממקום ציבורי,,3384,1668,165,493,643,367,1422,181,429,435,377,294,122,172
קריית גת,איכות חיים,גרימת רעש מעסק,,284,90,8,31,20,31,154,61,47,17,29,40,25,15
קריית גת,סדר ציבורי,Total,,1557,678,167,167,177,167,646,101,198,178,169,233,154,79
קריית גת,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,1557,678,167,167,177,167,646,101,198,178,169,233,154,79
קריית גת,אלימות,Total,,730,331,53,96,103,79,289,93,80,58,58,110,71,39
קריית גת,אלימות,סכסוך - שכנים,,285,-,-,-,-,-,175,-,59,58,58,110,71,39
קריית גת,אלימות,סכסוך שכנים עסקי,,445,331,53,96,103,79,114,93,21,-,-,-,-,-
קריית גת,סמים ואלכוהול,Total,,186,76,21,21,23,11,78,19,20,22,17,32,18,14
קריית גת,סמים ואלכוהול,שכרות,,186,76,21,21,23,11,78,19,20,22,17,32,18,14
קריית טבעון,Total,,,2121,784,174,210,236,164,973,177,282,257,257,364,197,167
קריית טבעון,תנועה,Total,,1042,346,101,62,94,89,480,106,140,106,128,216,128,88
